result,state,turn
BW,OOOOOBOOOOOBOOOOOOOOOOOWOOOBOOOBOOOOBOOBKBBOOOOOBOBOOOOOOOOOOOWOOOOBOOOOOOOOBOOOO,W
BW,OOOOOBOOOOOBOOOOOOOOOOWOOOOBOOOOOOOOBOOBKBBOOOOOBOBOOOOOOOOOOOWOOOOBOOOOOOOOBOOOO,B
BW,OOOOOBOOOOOBOOOOOOOOOOOOOOOOOOOBOOOOBOOBKBBOOOOOBOBOOOOOOOOOOOWOOOOBOOOOOOOOBOOOO,W
BW,OOOOOBOOOOOBOOOOOOOOOOOOOOOOOOOBOOOOBOOBTBBOOOOOBOBOOOOOOOKOOOWOOOOBOOOOOOOOBOOOO,B
WW,OOOBBBOOOOOOOBOOOOOOOOWOOOOBOOOWOOOBBBWWKWWBBBOOOWOOOBOOOOWOOOOOOOOBOOOOOOOBBBOOO,W
WW,OOOBBBOOOOOOOBOOOOOOOOWOOOOBWOOOOOOBBBWWKWWBBBOOOWOOOBOOOOWOOOOOOOOBOOOOOOOBBBOOO,B
WW,OOOBBBOOOOOOOBOOOOOOOOWOOOOBOBOOOOOOBBWWKWWBBBOOOWOOOBOOOOWOOOOOOOOBOOOOOOOBBBOOO,W
WW,OOOBBBOOOOOOOBOOOOOOOOWOOOOBOBOKOOOOBBWWTWWBBBOOOWOOOBOOOOWOOOOOOOOBOOOOOOOBBBOOO,B
WW,OOOBBBOOOOOOOBOOOBOOOOWOOOOBOBOKOOOOBBWWTWWBOBOOOWOOOBOOOOWOOOOOOOOBOOOOOOOBBBOOO,W
WW,OOOBBBOOOOOOOBOOOBOOOOWOOOOBOBKOOOOOBBWWTWWBOBOOOWOOOBOOOOWOOOOOOOOBOOOOOOOBBBOOO,B
WW,OOOBBOBOOOOOOBOOOBOOOOWOOOOBOBKOOOOOBBWWTWWBOBOOOWOOOBOOOOWOOOOOOOOBOOOOOOOBBBOOO,W
WW,OOOBBOBOOOOOOBOOOBOOOOWOWOOBOBKOOOOOBBWWTWOBOBOOOWOOOBOOOOWOOOOOOOOBOOOOOOOBBBOOO,B
WW,OOOBBOBOOOOOOBOOOBOOOOWOWBOBOBKOOOOOBBWWTWOOOBOOOWOOOBOOOOWOOOOOOOOBOOOOOOOBBBOOO,W
WW,OOOBBOBOOOOOOBOOOBOOOOWWWBOBOBKOOOOOBBWWTOOOOBOOOWOOOBOOOOWOOOOOOOOBOOOOOOOBBBOOO,B
WW,OOOBBOBOOOOOOBOOOBOOBOWWWBOBOOKOOOOOBBWWTOOOOBOOOWOOOBOOOOWOOOOOOOOBOOOOOOOBBBOOO,W
WW,OOOBBOBOOOOOOBOOOBOOBOWWWBOBOOOOKOOOBBWWTOOOOBOOOWOOOBOOOOWOOOOOOOOBOOOOOOOBBBOOO,B
WW,OOOBBOBOOOOOOBOOOBOOBOOWWBOOOOOBKOOOBBWWTOOOOBOOOWOOOBOOOOWOOOOOOOOBOOOOOOOBBBOOO,W
WW,OOOBBOBOOOOOOBOOOBOOBOOWWBOOOOOBOOOOBBWWTOOOOBOOOWOOOBOOOOWOOOOOOOOBKOOOOOOBBBOOO,B
WW,OOOBBOBOOOOOOBOOOBOOBOOWWBOOOOOBOOOOBBWWTOOOOBOOOWOOOOOOOOWOOOOOOOOBKOOBOOOBBBOOO,W
WW,OOOBBOBOOOOOOBOOOBOOBOOWWBOOOOOBOOOOBBWWTOOOOBOOOWOOOOOOOOWOOOOOOOOBOKOBOOOBBBOOO,B
WW,OOOBBOBOOOOOOBOOOBOOBOOWWBOOOOOBOOOOBBWWTOOOOBOOOWOOOOOOOOWOOOOOOOOBOKBOOOOBBBOOO,W
WW,OOOBBOBOOOOOOBOOOBOOBOOWWBOOOOOBOOOOBBWWTOOOOBOOOWOOOOOOOOWOKOOOOOOBOOBOOOOBBBOOO,B
WW,OOOBBOBOOOOOOBOOOBOOBOOWWBOOOOOBOOOOBBWWTOOOOBOOOWOOOOOOOOWOKOOOOOOOOBBOOOOBBBOOO,W
WW,OOOBBBOOOOOOOBOOOOOOOOWOOOOBOOOWOOOBBBWWKWWBBBOOOWOOOBOOOOWOOOOOOOOBOOOOOOOBBBOOO,W
WW,OOOBBBOOOOOOOBOOOOOOOOWOOOOBWOOOOOOBBBWWKWWBBBOOOWOOOBOOOOWOOOOOOOOBOOOOOOOBBBOOO,B
WW,OOOBBBOOOOOOOBOOOOOOOOWOOOOBOBOOOOOOBBWWKWWBBBOOOWOOOBOOOOWOOOOOOOOBOOOOOOOBBBOOO,W
WW,OOOBBBOOOOOOOBOOOOOOOOWOOOOBOBOKOOOOBBWWTWWBBBOOOWOOOBOOOOWOOOOOOOOBOOOOOOOBBBOOO,B
WW,OOOBBBOOOOOOOBOOOOOOBOWOOOOBOOOKOOOOBBWWTWWBBBOOOWOOOBOOOOWOOOOOOOOBOOOOOOOBBBOOO,W
WW,OOOBBBOOOOOOOBOOOOOOBOWOOOOBOOOOKOOOBBWWTWWBBBOOOWOOOBOOOOWOOOOOOOOBOOOOOOOBBBOOO,B
WW,OOOBBBOOOOOOOOOOOBOOBOWOOOOBOOOOKOOOBBWWTWWBBBOOOWOOOBOOOOWOOOOOOOOBOOOOOOOBBBOOO,W
WW,OOOBBBOOOOOOOOOOOBOOBOWOOOOBOOOOKOOOBBWWTOWBBBOOOWOOOBOOOOWOOOOOOOOBWOOOOOOBBBOOO,B
WW,OOOBBBOOOOOOOOOOOBOBOOWOOOOBOOOOKOOOBBWWTOWBBBOOOWOOOBOOOOWOOOOOOOOBWOOOOOOBBBOOO,W
WW,OOOBBBOOOOOOOOOOOBOBOOWOOOOBOOOOKOOOBBWOTOWBBBOOOWOOOBOOOOWOOOOOOOWOWOOOOOOBBBOOO,B
WW,OOOOBBOOOOOOOOOOOBOBOOWOOOOBOOOOKOOOBBWOTOWBBBOOOWOOOBOOOBWOOOOOOOOOWOOOOOOBBBOOO,W
WW,OOOOBBOOOOOOOOOOOBOBOOWOOOOBOWOOKOOOBBOOTOWBBBOOOWOOOBOOOBWOOOOOOOOOWOOOOOOBBBOOO,B
WW,OOOOBOOBOOOOOOOOOBOBOOWOOOOBOWOOKOOOBBOOTOWBBBOOOWOOOBOOOBWOOOOOOOOOWOOOOOOBBBOOO,W
WW,OOOOBOOBOOOOOOOOOBOBOOWOOOOBWOOOKOOOBBOOTOWBBBOOOWOOOBOOOBWOOOOOOOOOWOOOOOOBBBOOO,B
WW,OOOOBOOBOOOOOOOOOBOBOOWOOOOBWOBOKOOOBBOOTOWBBBOOOWOOOBOOOOWOOOOOOOOOWOOOOOOBBBOOO,W
WW,OOOOBOOBOOOOOOOOOBOBOOWOOOOBWOBOKOOOBOOOTOWBBBWOOOOOOBOOOOWOOOOOOOOOWOOOOOOBBBOOO,B
WW,OOOOBOOBOOOOOOOBOOOBOOWOOOOBWOBOKOOOBOOOTOWBBBWOOOOOOBOOOOWOOOOOOOOOWOOOOOOBBBOOO,W
WW,OOOOBOOBOOOOOOOBOOOBOOWOOOOBWOBOOOOOBOOOTOWBBBWOOOOOOBOOOOWKOOOOOOOOWOOOOOOBBBOOO,B
WW,OOOOBOOBOOOOOOOBOOOBOOWOOOOBWOBOOOOOBOOOTOWOBBWOOOOOOBOOOOWKOBOOOOOOWOOOOOOBBBOOO,W
WW,OOOOBOOBOOOOOOOBOOOBOOWOOOOBWOBOOOOOBOOOTOWOBBWOOOOOOBOOOOWOKBOOOOOOWOOOOOOBBBOOO,B
WW,OOOOBOOBOOOOOOOBOOOBOOWOOOOBWOBOOOOOBOOOTOWOBBWOOOOOOBOOOOWOKBOOOOOOWOOOOOOBBOBOO,W
WW,OOOOBOOBOOOOOOOBOOOBOOWOOOOBWOBOOOOOBOOOTOWOBBWOOOOKOBOOOOWOOBOOOOOOWOOOOOOBBOBOO,B
WW,OOOOBOOBOOOOOOOBOOOBOOWOOOOBWOOOOOOOBOOOTOWOBBWOBOOKOBOOOOWOOBOOOOOOWOOOOOOBBOBOO,W
WW,OOOOBOOBOOOOOOOBOOOBOOWOOOOBWOOOOOOOBOOOTOWOBBWOBOOOOBOOOOWOKBOOOOOOWOOOOOOBBOBOO,B
WW,OOOOBOOBOOOOOOOBOOOBOOWOOOOBWOOOOOOOBOOOTOWOBBWOBOOOOBOOOOWOKOBOOOOOWOOOOOOBBOBOO,W
WW,OOOOBOOBOOOOOOOBOOOBOOWOOOOBWOOOOOOOBOOOTOWOBBWOBOOOOBWOOOOOKOBOOOOOWOOOOOOBBOBOO,B
WW,OOOOBOOBOOOOOOOBOOOBOOWOOOOBWOOOOOOOBOOOTOWOBBOBOOOOOBWOOOOOKOBOOOOOWOOOOOOBBOBOO,W
WW,OOOOBOOBOOOOOOOBOOOBOOWOOOOBWOOOOOOOBOOOTOWOBBOBOOOOOBWKOOOOOOBOOOOOWOOOOOOBBOBOO,B
WW,OOOOBOOBOOOOOOOBOOOBOOWOOOOBWOOOOOOOBOOOTOWOBBOOOOOOOBWKBOOOOOBOOOOOWOOOOOOBBOBOO,W
WW,OOOOBOOBOOOOOOOBOOOBOOWOOOOBWOOOOOOOBOOOTOWOBBOOOOOOOBWOBOOOOOBOKOOOWOOOOOOBBOBOO,B
WW,OOOOBOOBOOOOOOOBOOOBOOWOOOOBWOOOOOOOBOOOTOWOBBOOOOOOOBWOBOOOOOBOKOOOWOOOOBOOBOBOO,W
BW,OOOBBBOOOOOOOBOOOOOOOOWOOOOBOOOWOOOBBBWWKWWBBBOOOWOOOBOOOOWOOOOOOOOBOOOOOOOBBBOOO,W
BW,OOOBBBOOOOOOOBOOOOOOOOWOOOOBWOOOOOOBBBWWKWWBBBOOOWOOOBOOOOWOOOOOOOOBOOOOOOOBBBOOO,B
BW,OOOBBBOOOOOOOBOOOOOOOOOOOOOBWOOBOOOOBBWWKWWBBBOOOWOOOBOOOOWOOOOOOOOBOOOOOOOBBBOOO,W
BW,OOOBBBOOOOOOOBWOOOOOOOOOOOOBWOOBOOOOBBWWKOWBBBOOOWOOOBOOOOWOOOOOOOOBOOOOOOOBBBOOO,B
BW,OOOBBBOOOOOOOBWOOOOOOOOOOOOBWOOBOOOOBBWWKBOBBBOOOWOOOBOOOOWOOOOOOOOBOOOOOOOBBOOOO,W
BW,OOWBBBOOOOOOOBWOOOOOOOOOOOOBWOOBOOOOBBOWKBOBBBOOOWOOOBOOOOWOOOOOOOOBOOOOOOOBBOOOO,B
BW,OOWOBBOOOOOOOBWOOOOOOBOOOOOBWOOBOOOOBBOWKBOBBBOOOWOOOBOOOOWOOOOOOOOBOOOOOOOBBOOOO,W
BW,OOWOBBOOOOOOOBWOOOOOOBOOOOOBWOOBOOOOBBOOKBOBBBOOOWOOOBOOOOWOOOOOOOWBOOOOOOOBBOOOO,B
BW,OOWOBBOOOOOOOBWOOOOOOBOOOOOBWOOBOOOOBOOBKBOBBBOOOWOOOBOOOOWOOOOOOOWBOOOOOOOBBOOOO,W
BW,OOWOBBOOOOOOOBOWOOOOOBOOOOOBWOOBOOOOBOOBKBOBBBOOOWOOOBOOOOWOOOOOOOWBOOOOOOOBBOOOO,B
BW,OOWOBBOOOOOOOBOWOOOOOBOOOOOBWOOBOOOOOOBBKBOBBBOOOWOOOBOOOOWOOOOOOOWBOOOOOOOBBOOOO,W
BW,OOWOBBOOOOOOOBOWOOOOOBOOOOOBWOOBOOOOOOBBKBOBBBOOOWOOOBWOOOOOOOOOOOWBOOOOOOOBBOOOO,B
BW,OOWOBBOOOOOOOBOWOOOBOOOOOOOBOOOBOOOOOOBBKBOBBBOOOWOOOBWOOOOOOOOOOOWBOOOOOOOBBOOOO,W
BW,OOWOBBOOOOOOOBOWOOOBOOOOOOOBOOOBOOOOOOBBKBOBBBOOOWOOOBWOOOOOOOOWOOOBOOOOOOOBBOOOO,B
BW,OBOOBBOOOOOOOBOWOOOOOOOOOOOBOOOBOOOOOOBBKBOBBBOOOWOOOBWOOOOOOOOWOOOBOOOOOOOBBOOOO,W
BW,OBOOBBOOOOOOOBOOOOOOOOOOWOOBOOOBOOOOOOBBKBOBBBOOOWOOOBWOOOOOOOOWOOOBOOOOOOOBBOOOO,B
BW,OBOOBOOOOOOOOBOOOOOOOOOBWOOBOOOBOOOOOOBBKBOBBBOOOWOOOBWOOOOOOOOWOOOBOOOOOOOBBOOOO,W
BW,OBOOBOOOOOOOOBOOOOOOOOOBWOOBOOOBOOOOOOBBKBOBBBOOOWOOOBOOOOOOWOOWOOOBOOOOOOOBBOOOO,B
BW,OBOOBOOOOOOOOBOOOOOOOOOBOBOBOOOBOOOOOOBBKBOOBBOOOWOOOBOOOOOOWOOWOOOBOOOOOOOBBOOOO,W
BW,OBOOBOOOOOOOOBOOOOOOOOOBOBOBOOOBOOOOOOBBKOWOBBOOOWOOOBOOOOOOOOOWOOOBOOOOOOOBBOOOO,B
BW,OBOOBOOOOOOOOBOOOOOOOOOOOBOBOOOBOOOOOOBBKBOOBBOOOWOOOBOOOOOOOOOWOOOBOOOOOOOBBOOOO,W
BW,OBOOBOOOOOOOOBOOOOOOOOOOOBOBOOOBOOOOOOBBKBOOBBOOOWOOOBOOOOOOOOOOOWOBOOOOOOOBBOOOO,B
BW,OBOOBOOOOOOOOBOOOOOOOOOOOBOBOOOBOOOOOOBBKBOOBBOOOWBOOOOOOOOOOOOOOWOBOOOOOOOBBOOOO,W
BW,OBOOBOOOOOOOOBOOOOOOOOOOOBOBOOOBOOOOOOBBKBOOBBOOOWBOOOOOOOOOOOOWOOOBOOOOOOOBBOOOO,B
BW,OBOOBOOOOOOOOBOOOOOOOOOOOBOBOOOBOOOOOOBBKBOOBOOOBOBOOOOOOOOOOOOWOOOBOOOOOOOBBOOOO,W
BW,OBOOBOOOOOOOOBOOOOOOOOOOOBOBOOOBOOOOOOBBTBOOBOOOBOBOOOOOOOKOOOOWOOOBOOOOOOOBBOOOO,B
BW,OOOBBBOOOOOOOBOOOOOOOOWOOOOBOOOWOOOBBBWWKWWBBBOOOWOOOBOOOOWOOOOOOOOBOOOOOOOBBBOOO,W
BW,OOOBBBOOOOOOOBOOOOOOOOWOOOOBWOOOOOOBBBWWKWWBBBOOOWOOOBOOOOWOOOOOOOOBOOOOOOOBBBOOO,B
BW,OOOBBBOOOOOOOBOOOOOOOOOOOOOBWOOBOOOOBBWWKWWBBBOOOWOOOBOOOOWOOOOOOOOBOOOOOOOBBBOOO,W
BW,OOOBBBOOOOOOOBWOOOOOOOOOOOOBWOOBOOOOBBWWKOWBBBOOOWOOOBOOOOWOOOOOOOOBOOOOOOOBBBOOO,B
BW,OOOBBBOOOOOOOBWOOOOOOOOOOOOBWOOBOOOOBBWWKBOBBBOOOWOOOBOOOOWOOOOOOOOBOOOOOOOBBOOOO,W
BW,OOWBBBOOOOOOOBWOOOOOOOOOOOOBWOOBOOOOBBOWKBOBBBOOOWOOOBOOOOWOOOOOOOOBOOOOOOOBBOOOO,B
BW,OOWOBBOOOOOOOBWOOOOOOBOOOOOBWOOBOOOOBBOWKBOBBBOOOWOOOBOOOOWOOOOOOOOBOOOOOOOBBOOOO,W
BW,OOWOBBOOOOOOOBWOOOOOOBOOOOOBWOOBOOOOBBOOKBOBBBOOOWOOOBOOOOWOOOOOOOWBOOOOOOOBBOOOO,B
BW,OOWOBBOOOOOOOBWOOOOOOBOOOOOBWOOBOOOOBOOBKBOBBBOOOWOOOBOOOOWOOOOOOOWBOOOOOOOBBOOOO,W
BW,OOWOBBOOOOOOOBOWOOOOOBOOOOOBWOOBOOOOBOOBKBOBBBOOOWOOOBOOOOWOOOOOOOWBOOOOOOOBBOOOO,B
BW,OOWOBBOOOOOOOBOWOOOOOBOOOOOBWOOBOOOOOOBBKBOBBBOOOWOOOBOOOOWOOOOOOOWBOOOOOOOBBOOOO,W
BW,OOWOBBOOOOOOOBOWOOOOOBOOOOOBWOOBOOOOOOBBKBOBBBOOOWOOOBWOOOOOOOOOOOWBOOOOOOOBBOOOO,B
BW,OOWOBBOOOOOOOBOWOOOBOOOOOOOBOOOBOOOOOOBBKBOBBBOOOWOOOBWOOOOOOOOOOOWBOOOOOOOBBOOOO,W
BW,OOWOBBOOOOOOOBOWOOOBOOOOOOOBOOOBOOOOOOBBKBOBBBOOOWOOOBWOOOOOOOOWOOOBOOOOOOOBBOOOO,B
BW,OBOOBBOOOOOOOBOWOOOOOOOOOOOBOOOBOOOOOOBBKBOBBBOOOWOOOBWOOOOOOOOWOOOBOOOOOOOBBOOOO,W
BW,OBOOBBOOOOOOOBOOOOOOOOOOWOOBOOOBOOOOOOBBKBOBBBOOOWOOOBWOOOOOOOOWOOOBOOOOOOOBBOOOO,B
BW,OBOOBOOOOOOOOBOOOOOOOOOBWOOBOOOBOOOOOOBBKBOBBBOOOWOOOBWOOOOOOOOWOOOBOOOOOOOBBOOOO,W
BW,OBOOBOOOOOOOOBOOOOOOOOOBWOOBOOOBOOOOOOBBKBOBBBOOOWOOOBOOOOOOWOOWOOOBOOOOOOOBBOOOO,B
BW,OBOOBOOOOOOOOBOOOOOOOOOBOBOBOOOBOOOOOOBBKBOOBBOOOWOOOBOOOOOOWOOWOOOBOOOOOOOBBOOOO,W
BW,OBOOBOOOOOOOOBOOOOOOOOOBOBOBOOOBOOOOOOBBKOWOBBOOOWOOOBOOOOOOOOOWOOOBOOOOOOOBBOOOO,B
BW,OBOOBOOOOOOOOBOOOOOOOOOOOBOBOOOBOOOOOOBBKBOOBBOOOWOOOBOOOOOOOOOWOOOBOOOOOOOBBOOOO,W
BW,OBOOBOOOOOOOOBOOOOOOOOOOOBOBOOOBOOOOOOBBKBOOBBOOOWOOOBOOOOOOOOOOOWOBOOOOOOOBBOOOO,B
BW,OBOOBOOOOOOOOBOOOOOOOOOOOBOBOOOBOOOOOOBBKBOOBBOOOWBOOOOOOOOOOOOOOWOBOOOOOOOBBOOOO,W
BW,OBOOBOOOOOOOOBOOOOOOOOOOOBOBOOOBOOOOOOBBKBOOBBOOOWBOOOOOOOOOOOOWOOOBOOOOOOOBBOOOO,B
BW,OBOOBOOOOOOOOBOOOOOOOOOOOBOBOOOBOOOOOOBBKBOOBOOOBOBOOOOOOOOOOOOWOOOBOOOOOOOBBOOOO,W
BW,OBOOBOOOOOOOOBOOOOOOOOOOOBOBOOOBOOOOOOBBTBOOBOOOBOBOOOOOOOKOOOOWOOOBOOOOOOOBBOOOO,B
WW,OOOBBBOOOOOOOBOOOOOOOOWOOOOBOOOWOOOBBBWWKWWBBBOOOWOOOBOOOOWOOOOOOOOBOOOOOOOBBBOOO,W
WW,OOOBBBOOOOOOOBOOOOOOOOWOOOOBWOOOOOOBBBWWKWWBBBOOOWOOOBOOOOWOOOOOOOOBOOOOOOOBBBOOO,B
WW,OOOBBBOOOOOOOBOOOOOOOOOOOOOBWOOBOOOOBBWWKWWBBBOOOWOOOBOOOOWOOOOOOOOBOOOOOOOBBBOOO,W
WW,OOOBBBOOOOOOOBWOOOOOOOOOOOOBWOOBOOOOBBWWKOWBBBOOOWOOOBOOOOWOOOOOOOOBOOOOOOOBBBOOO,B
WW,OOOBBBOOOOOOOBWOOOOOOOOOOOOBWOOBOOOOBBWWKOWBBOOOOWOOOBBOOOWOOOOOOOOBOOOOOOOBBBOOO,W
WW,OOOBBBOOOOOOOBWOOOOOOOOOOOOBWOOBOOOOBBWWTKWBBOOOOWOOOBBOOOWOOOOOOOOBOOOOOOOBBBOOO,B
WW,OOOBBBOOOOOOOBWOOOOOOOOOOOOBWOOBOOOOBBWWTKWBBOOOOWOOOBBOOOWOOOOOOOOOOOBOOOOBBBOOO,W
WW,OOOBBBOOOOOOOBWOOOOOOOOKOOOBWOOBOOOOBBWWTOWBBOOOOWOOOBBOOOWOOOOOOOOOOOBOOOOBBBOOO,B
WW,OOOBBBOOOOOBOOWOOOOOOOOKOOOBWOOBOOOOBBWWTOWBBOOOOWOOOBBOOOWOOOOOOOOOOOBOOOOBBBOOO,W
WW,OOOBBBOOOOOOOBOOOOOOOOWOOOOBOOOWOOOBBBWWKWWBBBOOOWOOOBOOOOWOOOOOOOOBOOOOOOOBBBOOO,W
WW,OOOBBBOOOOOOOBOOOOOOOOWOOOOBWOOOOOOBBBWWKWWBBBOOOWOOOBOOOOWOOOOOOOOBOOOOOOOBBBOOO,B
WW,OOOBBBOOOOOOOBOOOOOOOOOOOOOBWOOBOOOOBBWWKWWBBBOOOWOOOBOOOOWOOOOOOOOBOOOOOOOBBBOOO,W
WW,OOOBBBOOOOOOOBWOOOOOOOOOOOOBWOOBOOOOBBWWKOWBBBOOOWOOOBOOOOWOOOOOOOOBOOOOOOOBBBOOO,B
WW,OOOBBBOOOOOOOBWOOOOOOOOOOOOBWOOBOOOOBOWWKOWBBBOOOWOOOBOOOOWOOOOOBOOBOOOOOOOBBBOOO,W
WW,OOOBBBOOOOOOOBWOOOOOOOOOOOOBWOOBOOOOBOWWTKWBBBOOOWOOOBOOOOWOOOOOBOOBOOOOOOOBBBOOO,B
